film,user,star,time,content
好家伙,Milandini,较差,2007-02-01,Goodfellas.1990.DVDRip.XviD.Dual-Audio.iNT-Fit
好家伙,Katherine,推荐,2011-03-24,学习了关于那个意大利黑手党的常识，还必须要是纯正的意大利血统啊~~要求真严格
好家伙,节能君,还行,2014-05-25,老毛病，节奏慢。虽然欧美黑帮片很有感觉，但还是会更喜欢韩国黑帮片。简单残酷的戏剧冲突，悲凉凄惨的人物命运
好家伙,sirius_flower,还行,2019-10-13,斯老师确实厉害让你以为昆丁混进了剧组 不论是双视点（男主、女主）叙述旁白对片子做三段切割还是定格关键动作帧覆盖自白与评论都拿捏到位戏谑但不炫技过度 赌场和餐厅后厨两个长镜头可以但在其他同行面前并不出色。后半少了很多玩笑式的形式语言故事也变得严肃起来 如果说前半段呈现了男主在帮派内的成长并获得paul的赏识结婚生子前途光明 后半则以序曲杀人段落为分界完全转向了与paul理念相反的极端犯罪 汤米几米双米搭配就注定了溃灭的隐患所以自此我们就只是等待着怎么收场 最后男主通过出卖组织全身而退黑帮气血全尽 观看的动力已经消耗殆尽对主角的移情基本崩溃。所以港版的翻译《盗亦有道》就是瞎鸡巴扯淡 这恰恰是一个无道团伙的陨灭过程。在立场态度上多年后的华尔街之狼与此相近 如何拍恶人成了一种难题
好家伙,tikey,推荐,2013-08-24,马丁·斯科塞斯通过描述黑帮人物的经历，展现了一幅被扭曲的美国梦画卷。看似要风得风，挥金似土的不合法生活，其实是人性贪婪和残暴到达麻木后的状态。一直不喜欢马丁的片子，要不是做分析电影作业也不会看完此片，也算是意外收获~
好家伙,ilia,推荐,2011-01-24,狂像johnny depp有没有！！！！！！！！！！！！  那一天的部分很精彩，但整体有些乱啊，偏长了
好家伙,菲以,推荐,2012-03-20,罗伯特还是帅爆了。真人真事什么的感觉就是不一样。跟意大利人一起看黑手党的故事感觉就是不一样。然后为什么黑帮片的女人都要这么蠢……
好家伙,灰,力荐,2012-09-12,除了lorraine bucco，黑道家族用了好多台词都没有几句的小咖作为班底。。。pussy  christopher paulie phil 还有那个是carlo么？
好家伙,王二的Wilde,力荐,2012-05-20,相比其他黑帮片中对黑帮的蓄意美化，本片中几乎找不出一个正面角色，却又个个有血有肉个性鲜明。德尼罗不是第一男主，却撑起整个场面。
好家伙,丫头不笑,推荐,2012-05-24,真实改编～很喜欢这部黑帮电影
好家伙,托尔,推荐,2012-01-05,肩扛长镜头是一种艺术啊！黑道不是那么好玩的，出来混迟早要还。
好家伙,Over5,力荐,2007-03-14,黑帮家规～老马最好的一部……老少爷们儿们生来就是一副横样儿，脾气暴，刀枪多于话语的蛮主儿～
好家伙,雲苍白浅影长,力荐,2012-05-07,无论从事什么行当，上进心很重要，努力进入体制内，成为体制的一员很重要。 
好家伙,幼鹿,还行,2011-08-20,加入黑帮差不多等于选择了一种生活方式。ps.演汤米的那位已经不止一次看到他演那种极其凶残暴躁最后死的老惨，但他自己却不知道是怎么回事的角色了~
好家伙,清久,力荐,2013-12-13,没有永远的朋友，只有永远的利益。只要他们开始危及自身安全，便可不顾一切地除之而后快。
好家伙,容安,推荐,2011-06-18,什么叫出来混迟早要还的，什么叫没有永远的朋友也没有永远的敌人，只有永远的利益。
好家伙,陈大纸,2012-09-04,2012-09-04,黑道片的结局永远是证人保护计划。
好家伙,ATM-09,力荐,2011-07-27,"到最后才知道是根据真实事件改编的，黑社会真nb,可惜没意大利血统不能入党啊"
好家伙,銀河映像創作組,力荐,2018-09-13,"老马丁作品的节奏一直是我比较钟意的，这部也不例外。节奏看得人异常舒服，大段旁白台词可谓锦上添花。以前听说本片的时候并不知道原来德尼罗和乔佩西是配角而雷利奥塔才是男一。三人组可谓各有发挥，虽然老罗跟佩西的戏感觉还是少了点。总觉得本片也有一丝丝黑色幽默片的味道，也许是极端的暴力、尔虞我诈中透着一股无奈导致的这种反差感吧。剧本很扎实，外加导演优秀的镜头语言和节奏把握，成就的一部经典黑帮片。PS：YouTube看过一个视频，好像说这部电影是史上爆粗口次数最多的英文片之一了，也就不奇怪当中各种""fuck, whore, prick""了,哈哈。"
好家伙,泊衡,2010-06-01,2010-06-01,出来混是要还的。当利益相冲突的时候，只能相信自己，挺悲凉的
警察故事4：简单任务,海蚀我心,力荐,2011-03-31,上天遁地，无所不用其极
警察故事4：简单任务,Keith Lee,推荐,2020-04-27,还是警察故事的那些套路，不过这个任务并不简单
警察故事4：简单任务,小蕾,力荐,2020-06-22,这部看上去已经很现代了 雪地 水族馆 徐杰父亲灵堂现场 这几场戏都非常棒 充满成龙式的喜剧效果 龙哥真的很拼 
警察故事4：简单任务,everydaywalker,还行,2016-02-12,背景比前几部大，香港警察不再只是维护香港治安而是跟CIA、FSB谈笑风声，乌克兰的雪中追逐和澳大利亚的水族馆打斗符合成龙动作喜剧的一贯水准，不过故事有些零碎，不够完整，人物形象的塑造比较单薄。
警察故事4：简单任务,152****5540,还行,2017-07-09,这个片子其实是一部老007的翻拍，很多地方几乎一样... ...
警察故事4：简单任务,小灰猫,推荐,2016-02-12,昨晚和老妈一起看的，原来是1996年拍的，难怪有那么多怀旧的氛围呢～还挺欢乐的，成龙1990年代好片子真多呢！
警察故事4：简单任务,海岩,推荐,2018-08-28,很具有国际野心的香港电影，其戏剧化和娱乐化的程度比较高，成龙大哥以命相搏的拍片模式在自己年岁渐长的日子里更加佩服。以其系列片的格局，在相关电影中树立起一块个性独特风格鲜明的招牌，值得称道。
警察故事4：简单任务,阿焰并没有钱,还行,2020-06-14,《警察故事4》依然是由唐季礼导演的作品，龙叔也如同前三部一样进行了许多极其危险的动作戏，尤其是冰天雪地那段，又是滑雪板飞向直升机又是掉落冰湖的，本来就够危险了，结果龙叔居然真的只穿着那么单薄的衣物来拍戏，我还以为只是给观众看一眼后就继续在里面穿点暖和的了，真的太拼了啊。而且发现最后那刺激的飞车撞游艇特技表演也是多次被好莱坞借鉴的存在，最为明显就是《速度与激情2》和《的士速递5》了，看来这些老港片对于那些好莱坞导演们是个很棒的参考对象啊。只不过比较可惜的就是这部的剧情了，真的太平庸俗套了，变成国际警察后的陈家驹故事真的不如前三部好看，大部分老外演员们的演技也很尴尬，感觉唯一能参演的原因就是因为他们是老外而已；后半部分让家驹背谋杀这个黑锅的剧情更是直接让我有些看不下去了，难怪没有继续拍续集了呢。
警察故事4：简单任务,lulujiang,推荐,2011-02-27,简单，嘿嘿，简单，那只考拉真可爱！
警察故事4：简单任务,XD|醒来。你在。,很差,2017-09-27,感谢豆瓣移除了重要功能“没兴趣”，既然无法阻止豆瓣推荐没兴趣的书影音，只好单独建一个标签。
警察故事4：简单任务,文白,较差,2017-08-07,不知道是不是蓝光版本（美版？）剪辑的问题，大量的场景生硬切换，导致观感很差，我印象中这部还不错来着……
警察故事4：简单任务,他人之言,推荐,2015-11-08,有俄罗斯冰天雪地潜水艇核弹和澳大利亚的水下鲨鱼等。
警察故事4：简单任务,thchcgdb,还行,2009-10-11,名字很有意思。
警察故事4：简单任务,永远的草莓地,力荐,2020-06-22,  从充满港片本土特色的《警察故事》，到《警察故事4：简单任务》里好莱坞式的商业大片风格，可以说这个系列每部作品的质量都是出类拔萃；一部比一部更卖命的龙叔，一次又一次刷新着观众对极限的认知：在这部里滑行于冰山雪地间，穿梭在高楼大厦中，水族馆里也少不了要同时与匪徒和鲨鱼斗智斗勇的身影；武戏的流畅与之中所呈现的喜剧让我觉得像是在看杂技一般；在如此众多的元素下，还能穿插一段对核武器的反思这样宏大的话题。论整体观感上，我愿称这部为系列最佳，但不知道为什么豆瓣评分反而是系列最低。🤔（这里的系列是指以陈家驹为主角的《警察故事》系列。）
警察故事4：简单任务,如,推荐,2008-10-02,这一系列全四星。
警察故事4：简单任务,🌵🌵,还行,2018-06-06,想想这个系列当年都拍到第四部了，居然还能看（褒义），也是非常不容易了。
警察故事4：简单任务,┢落┦,还行,2020-01-31,每个港片大导都需要玩一次007，唐季礼份完成。
警察故事4：简单任务,Ivan,力荐,2012-05-15,非常赞，早期的成龙大哥啊。。。
警察故事4：简单任务,小胖,推荐,2009-02-28,原来白金龙也是警察故事系列
警察故事4：简单任务,DJ,推荐,2010-11-18,当时觉得无比好看，故事丰富，高潮不断，现在看的话有可能破坏曾经美好的记忆^_^
生死时速,翔樹。,还行,2011-08-20,多老的片子了，纯粹为了看基努。刚开始真想让公车就炸了，后来真是‘高潮迭起险象环生’，真说不好Jack是Lucky还是倒霉。剩下的就是年轻的Keenu很帅气姑娘挺漂亮和钻车那段了……后来的地铁也很精彩嘛，最后还是绷住了。
生死时速,爱上女逃犯,力荐,2011-11-17,有史以来最经典的动作片之一，整个电影情节都在高速运行的汽车上发生，令人心跳加快。
生死时速,傩傩不是熊,推荐,2012-10-08,造成的损失远大于勒索的赎金！ps:基努里维斯真心帅呆了，桑德拉布洛克各时期的感觉都不一样~
生死时速,BaiYuGG,推荐,2008-01-05,两位主角好登对啊 hoho
生死时速,野生卷毛,推荐,2010-02-16,第一次看是初中还是小学不记得了。基努啊你的片子还是早年时好看
生死时速,你说什么都对,力荐,2010-04-24,只记得看完后觉得男主帅得不得了~之前明明觉得他不够帅的……
生死时速,我爱看电影,推荐,2013-08-16,shoot the hostage。。。导演烧了多少钱啊把飞机都炸了。。。当年的里维斯都嫩出水来了。。。
生死时速,celestebook,还行,2014-03-04,看到后面有点疲劳。让我想起了名侦探柯南剧场版第一部那个不能停下来的新干线。
生死时速,公子踏月而来,推荐,2008-04-23,第一次看的时候是相当的惊险刺激。  电视又在重放，这次看的就是基努了。
生死时速,疏芸汐落,推荐,2007-12-14,尽管老套，还是喜欢上了Keanu Reeves和Sandra Bullock。
生死时速,梅斯布,推荐,2005-07-27,可能知道的人不多，其实《生死时速》翻拍自日本1975年的电影《新干线大爆破》，所以，speed suck
生死时速,Reminiscent,推荐,2011-03-29,这电影要在北京拍，人早死光了。。。
生死时速,杜扬Seatory,推荐,2006-10-11,老片了 小时候看的
生死时速,放风的人,推荐,2009-05-14,速度即是生命。千万不能停车啊
生死时速,工口君,推荐,2011-12-25,我覺得4星滿滿的啊，難道是我欣賞水平太低..
生死时速,狐,推荐,2007-04-22,其实非常不想看这种电影了，只想找个出口……
生死时速,yocofcjx28,力荐,2016-12-22,紧张！真的紧张！！！基努里维斯太帅了！
生死时速,与碟私奔,力荐,2018-05-27,『补標经典』现在看蓝光画质也没有想当年看录像带翻录的效果或者后来的VCD百看不厌以及那种惊心动魄的感觉……
生死时速,Mathilda,力荐,2008-01-19,谢谢炸鸡哥送我精九 还有比这更好看更激动人心的电影吗
生死时速,布拉德痞特儿,还行,2013-06-02,镜头流畅度不够，剧情硬伤也不少，该表现的情节没表现出来，该缩减的没缩减，导致不分段落拖沓了，还有基努和女猪脚的演技...
勇敢者的游戏,愚者小山,力荐,2010-09-01,"一个棋盘游戏 毁了小男孩和他的一家 ，当再度被2个小孩发现的时候，打到5或8点 他才    返回。只有将游戏玩完所有恐怖的东西才会消失，他找回儿时玩伴 一起进行这个勇敢者的游戏，这个小镇    在经历种种灾难后终于归tai "
勇敢者的游戏,Castor ⊿ ⊿ ⊿,还行,2012-01-27,95年的奇思妙想和光影特效，现在观看就显得平淡无奇了，有些电影确实会有保质期的吧。电影节奏过慢，放映一半之后才开始真正主题。JUMANJI的创意不错，可惜细节设定不严谨。
勇敢者的游戏,汽水|不core不得嗨,力荐,2008-02-23,"从小看到大还是喜欢～  Kirsten Dunst好可爱～"
勇敢者的游戏,唔唔唔唔,推荐,2010-11-25,看评价大家都是小时候看的呀~~ 都是在中央六套看的么？ 同样回忆，那时真的觉得很精彩，现在回忆起来也觉得很美好！
勇敢者的游戏,Kiki M,推荐,2008-01-01,"不错  现在看来，技术没最开始的看得时候惊讶了"
勇敢者的游戏,新世纪腐淫战士,推荐,2013-12-07,小时候爸爸推荐给我看的，现在总算见识其芳容了~看片的时候我觉得最可怜的就是姨妈，尼玛明明就不是她惹的祸，她却遭遇到了比主角们更悲催的经历~但是最后父子相拥还是很感人的，不知为何那一段纯真的亲情我特别想刷yooooooo，艾玛现在满脑子都是什么东西~演员很强大哦~
勇敢者的游戏,喃就是喃,还行,2018-01-17,小时候的噩梦 参加朋友生日聚会时候看到 吓死了 大洪水什么的 逃不掉的感觉
勇敢者的游戏,minyee13,还行,2007-11-24,其实吧 我还挺喜欢这种类型的
勇敢者的游戏,yourstepmom,较差,2011-02-04,Simpson模仿过。
勇敢者的游戏,Garing,力荐,2008-10-09,凡是魔幻的历险电影我都爱，这部更是大爱，pearl都播了不下十遍了，说明真的是好电影啊！
勇敢者的游戏,特写蒙汗药,推荐,2011-11-30,昨天跟赫赫一起看了《勇敢者的游戏》电影，上周看了奥尔斯贝格的漫画书，赫赫HIGH暴了，看电影时候也在沙发上蹦来跳去的。妈妈看电影的时候还在上大学，现在回头再看，特技确实有些过时了。
勇敢者的游戏,The_Carrot,力荐,2011-09-24,这个的特效在当时算是超级给力了吧！而且是桌游相关啊有木有！
勇敢者的游戏,彩虹几度,推荐,2010-01-05,那年，是怎样地新奇
勇敢者的游戏,[已注销],推荐,2010-10-15,纯粹的怀旧 儿时总是幻想自己也可以玩这样的游戏
勇敢者的游戏,辉盾与黑刃,推荐,2008-06-07,小时候一直觉得是恐怖片，最近重看了以后发现一点都不恐怖
勇敢者的游戏,北极熊7,力荐,2011-06-26,大半夜的 笑死我了
勇敢者的游戏,CQB241,力荐,2011-07-04,时隔多年重看，感觉很好
勇敢者的游戏,-东/东/弗/斯-,推荐,2018-04-10,总算找到了！童年阴影！看CCTV6的预告片给我吓得一愣一愣的，好几天不敢睡觉！现在看起来后背还阴风阵阵……（看新版之后补，这部讲亲情和解，新版讲青春友情）
勇敢者的游戏,Windywings,推荐,2006-04-19,成为壮汉的艾伦回到现实世界第一事情仍然是找父母。
勇敢者的游戏,小湮婉姝,推荐,2010-12-05,小时候看的竟然吓得睡不着觉。。又看了一遍才发现是喜剧片竟然= =
黑金,Rolleica_Ann,推荐,2011-05-14,四星都是给梁家辉和孙佳君的，梁家辉的部分很掂，刘德华的部分很唔掂
黑金,jellyfish,还行,2014-03-05,囧配乐囧节奏囧主角囧调度，导演知不知道自己要拍什么啊。白瞎梁家辉和李立群了。闪瞎眼的飞车戏，竟然还有狼狗，整个刘德华的团队，包括豆导和金士杰都感觉是被临时抓来演戏的，还每人带了一本正义金句集。
黑金,倁乌,较差,2014-05-13,别名：《情义之西西里岛》，什么鬼！麦当杰用《省港旗兵》套路意淫出来的台湾政治动作惊悚题材电影。刘德华负三星，五星分别给梁家辉和他的屁股。
黑金,sadbaddad,力荐,2007-07-09,呀 我一直以为孙佳君是孟广美！！！啊啊啊
黑金,水浒三国金刚,还行,2017-04-20,唉，看着李立群和金士杰这些台湾老戏骨吊炸天的表演功底，我真是激动得想射精
黑金,Andor-Genesis,推荐,2011-05-02,刘德华在 麦氏的电影里一直都是有好下场！~
黑金,古风晕,推荐,2015-11-06,没有梁家辉的精彩表演 本片就是烂片了 反之则成为经典
黑金,Mr.Hungry,2011-01-17,2011-01-17,还情义之西西里岛 ？？怎么引申出来的。。
黑金,琧婯,力荐,2017-09-03,再看真牛逼啊，此片涵盖香港电影特色之精华：劲爆香艳；插科打诨；露骨讽刺。不知法务部长马先生今又如何哉？。。。还有三个大美女以及霸气爆棚的梁家辉
黑金,蔷薇泡沫,还行,2020-08-11,Island of greed. 预告片里打出“有一天我们的ZF将被黑帮取代”，这一对麦当兄弟真是够敢拍的。向氏兄弟，麦氏兄弟拍了这样一部片子，也是足够讽刺了。影片影射了很多现实人物，马YJ、李DH……可以说剧本是很有野心的，一些台词写的很不错，例如周朝先在当选立委之后和其他黑帮立委泡澡时的肺腑之言—“我们为什么不把全国弟兄都团结起来，解散所有的帮会，重新成立一个新党？我周朝先可以保证，三年之内我们会成为台湾第一大党，到时候我们就是执政党，我们可以堂堂正正地在总统府开会，哪像现在偷偷摸摸，像龟蛋一样，冒个头出来讲话！”可惜的是，导演功力不足，转场衔接生硬，火拼场面浮夸，这也是港片通病；好几处群斗大场面因为调度不行只能把镜头晃来晃去。好在梁家辉，李立群包括孙佳君演技超牛掰，给全片增色不少。
黑金,Avalon,推荐,2006-09-12,黑社会政治电影~~~~~~~~~``
黑金,啊江好运气,力荐,2012-11-10,周朝先真是经典
黑金,楚翰彻,还行,2017-04-05,整部电影被现实主义倾向严重的情绪渲染和邪不胜正的类型基调一分为二，前者完整而悲壮，后者则显得有些畏首畏尾。因此整部电影的看点基本都集中在了梁家辉一人的身上，其个人出色的表现成为了电影情绪流的唯一输出，是其个人的成功，某种程度上却也衬托出了电影的部分短板。
黑金,pineapple,推荐,2013-12-19,第一次觉得梁家辉比刘德华还帅！
黑金,慕奇蘭,推荐,2014-12-14,這部電影很不錯 我話講完 誰讚成 誰反對
黑金,幻想木雕师曾麒,还行,2011-08-27,现在看来，剧情超囧。刘德华是把时间暂停了吗，十几年前和十几年后一模一样也~我指的是演技。
黑金,文森特,推荐,2020-02-23,麦当雄出品，必定火爆辛辣，没想到这一次这么直接而彻底。这部电影可以分成两部来看，一部是揭露台湾民主政治虚伪黑暗内核的政治电影，完全彻底的掀了民主政治的老底，展现政治人物非常丑恶的嘴脸。另一部是梁家辉的个人秀，不是他在秀，而是他把角色演绎的真实可信，深入骨髓。一代枭雄的气质做派展现得淋已尽致，不愧影帝之誉。相比刘德华先生反而像是花瓶，而钮承泽就像个打酱油的小弟了。影片辛辣火爆，而且有很多“奇观”类的桥段，让政治电影也极具观赏性。而且，导演非常注意台湾与香港自然环境和人文环境的区别，取景非常具有台湾特色，可见影片制作上乘。
黑金,TSHM,推荐,2010-10-28,以前觉得这个片子太假很幼稚，现在觉得幼稚的是我……
黑金,赵大宝,还行,2012-05-21,要不是最后特别夸张的打斗，还能多一颗星。
黑金,开山怪,推荐,2011-09-27,"梁的表演无敌了, 李立群和金士杰也为此片增色不少,   至于其他的........诶"
不可饶恕,上世纪的云,力荐,2012-06-19,"之所以給5+這麽高的分：1,eastwood的演技,2,是影片其實是一部反暴力的片子,3,這是一部看似西部片的非西部片，也是除了《黃金三鏢客》之後我看過的第二部最另類的西部片,4,這是一部美國片，而美國片能有這樣美麗，隱忍的主題是很難得的."
