,film,user,star,time,content
0,山村老尸,厌氧大蘑菇,暂未评价,2014-01-28,哈哈哈哈哈初中时候谁看过来着天天说剧情啊喂
1,山村老尸,大爷,推荐,2012-03-26,重温了一遍  依然觉得很恐怖    14.1.21又看了一遍  完全不觉得恐怖了……
2,山村老尸,火山君,力荐,2010-12-10,膜拜国产经典鬼片 膜拜！！！
3,山村老尸,Kepler 452b,还行,2013-03-15,还可以。有情人还是应该终成眷属啊
4,山村老尸,Cynthia,推荐,2010-02-06,高中同桌给我讲了完整的故事，后来看的还是觉得寒。少有的港式恐怖佳片，近年已不多见了
5,山村老尸,丁一,很差,2010-01-24,农妇山泉有点甜，  哪只眼睛见到鬼？  吃水不忘咒怨女，  时刻想念楚人美  
6,山村老尸,Wornsknsk,力荐,2011-04-04,一个字  真他妈的吓人 哈哈哈哈
7,山村老尸,所见非所得,还行,2011-06-13,我真的。。。一直以为是“老师”。。。。。。
8,山村老尸,ACSHW,还行,2010-11-23,01年暑假，租片子在表弟家看的
9,山村老尸,半透明,较差,2010-10-13,這是搞笑片，不是恐怖片。好垃圾。
10,山村老尸,璃音,推荐,2008-10-29,小时候看的，阴影了好几年...
11,山村老尸,R.G.B,推荐,2012-11-27,。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
12,山村老尸,紫I'm male thx,推荐,2008-05-30,小时候吓得好长时间有阴影。蓝戏服。那种声响。嘴里的黑液。翻白的双眼。
13,山村老尸,Roooooolls,还行,2012-11-16,真的好搞笑。。。。。。
14,山村老尸,马思唯马思唯,暂未评价,2011-11-23,小时候不敢看 现在看了下 有点扯淡
15,山村老尸,发条Chaagle,暂未评价,2010-02-05,小学四年级看的，几天几夜睡不着，注定了我这辈子再也不想看鬼片的悲剧，童年阴影就是它！
16,山村老尸,Miss黄,推荐,2012-02-05,因果因果，有因终有果
17,山村老尸,Meursault,还行,2014-02-13,活着的人远比死掉的人更可怜，也更可怕。
18,山村老尸,Miss Jane,很差,2011-01-03,很多人都认为很恐怖~但是好无聊啊~~~不好看~~
