film,user,star,time,content
海尔兄弟,乌尔詹,推荐,2011-11-10,好看着呢
海尔兄弟,柒柒♀,推荐,2018-09-30,以前家里有海尔牌电器来着
海尔兄弟,窝窝头✿,较差,2009-07-18,我对科普知识没有兴趣啊....
海尔兄弟,茬嘴王,推荐,2010-09-24,别说~这还真挺长知识的
海尔兄弟,薰,力荐,2015-10-27,小学时候学校有节课安排集体看这个动画片，回到家动画城等着看 ，最爱暑假时候一边泡在澡盆里一边看完
海尔兄弟,秦九,力荐,2011-03-03,太长了，看不完
海尔兄弟,乐不思蜀,力荐,2008-10-07,五星级推荐给小学生，我当年18点必看的
海尔兄弟,cream.cx,推荐,2007-10-17,好吧，我承认，从小就觉得这两兄弟之间非常有爱。。。
海尔兄弟,心念,2012-06-19,2012-06-19,打雷要下雨，雷欧（什么？）下雨要打伞，雷欧，（这我也知道！） 
海尔兄弟,Giant,推荐,2012-07-20,小时候反正是动画就喜欢吧，琴岛……海尔……
海尔兄弟,一日三餐为续命,推荐,2011-01-21,不就是俩卖电器的么.. - -
海尔兄弟,颜颜,力荐,2010-11-05,十万个为神马
海尔兄弟,突然粉碎,推荐,2010-02-27,有创意
海尔兄弟,小J到处乱逛,较差,2008-01-30,垃圾广告
海尔兄弟,Sunman,还行,2011-12-11,90年代中国最好的创意超长篇广告。三星半。
海尔兄弟,near。育妞季。,推荐,2010-02-28,小时候学了不少东西···
海尔兄弟,润昕,力荐,2011-12-07,很不错的动画片
海尔兄弟,岁云暮,推荐,2010-01-20,那时候的国产动画里最喜欢的之一。真的挺好的。
海尔兄弟,d,还行,2011-05-04,小时候好讨厌这两个不穿衣服的小孩呢！
海尔兄弟,Ruby超人小姐,推荐,2010-05-21,工作需要，又看了遍第一集，哈哈。
精灵宝可梦,鉢仔糕,推荐,2010-06-21,比卡超
精灵宝可梦,小小不愿醒过来,推荐,2008-02-22,跟妹妹一起看。
精灵宝可梦,夏太郎,推荐,2012-03-01,小时候表哥有好多宠物小精灵的玩具啊。
精灵宝可梦,0405|Love&Life,力荐,2010-10-23,不打五星，对不起自己。
精灵宝可梦,Kaka.Lam,力荐,2014-02-26,从小学一直看到高中
精灵宝可梦,我不是盆栽啊,还行,2011-04-28,我其实比较喜欢数码宝贝。
精灵宝可梦,小栗兔美,力荐,2013-08-06,追童年
精灵宝可梦,有粒酷砂糖,力荐,2011-06-19,当年，宠物小精灵成为了我们小学生的梦想。
精灵宝可梦,20thCenturyFox,力荐,2017-02-16,以前的暑假疯狂买碟 和小伙伴们一遍遍的看 那些炎热的夏天 操场 夏日凉风 萤火虫 冷饮 和宠物小精灵 真是回不去的美好啊~
精灵宝可梦,三四,2012-07-28,2012-07-28,为了防止世界被破坏 为了保护世界的和平 贯彻爱与真实的邪恶 可爱又迷人的反叛角色 我是武藏 我是小次郎 我们是穿梭在银河的火箭队 白洞 白色的明天在等着我们 就是这样 喵~~
精灵宝可梦,咖喱咖喱饭❤,推荐,2010-11-30,比卡丘~
精灵宝可梦,*,2011-08-13,2011-08-13,还收集N多贴纸。。。
精灵宝可梦,澹~,推荐,2014-04-12,炫动卡通频道在放这个来着~
精灵宝可梦,無我,力荐,2013-11-21,皮卡丘
精灵宝可梦,中英名均可,推荐,2011-11-03,小时候有很多忘了啥雕的泥像，颜色最喜欢的是那个棕色的催眠师还有骨头可可，然后还有乘龙不过被我那些卑鄙的同学偷走了。如果我没记错的话我最讨厌的是那个胸罩姐。玩的最多的是喷火龙，妙蛙种子的种子掉下来了。数码宝贝的我也有。
精灵宝可梦,喝一嘿,力荐,2014-11-11,幼时的经典啊 - -
精灵宝可梦,[已注销],力荐,2011-10-20,收集贴纸，GBA上的游戏还有穿越银河的火箭队喵！
精灵宝可梦,猪仔叶,还行,2011-02-10,小时候是看了多少动画呃。
精灵宝可梦,复制人罗伊,推荐,2013-06-23,就看过这一季
精灵宝可梦,翰小七,力荐,2013-10-29,皮卡丘，杰尼龟，小火龙，妙蛙种子。
钢琴课,林 寶兒,力荐,2009-01-02,the song is great
钢琴课,probe,推荐,2016-12-26,难得一个女导演如此注重电影氛围的营造，寡言少语之下用空间，场景，环境声来叙事表意的能力，让该片确实不逊于群体创作外加历史背景资源丰富的《霸王别姬》。让维多利亚式的肖像置身伊甸丛林更是西方文化更善于另辟蹊径的优势展现。结局更是神来之笔，“琴”即“情”，女性是否深陷其中的选择终于觉醒
钢琴课,Kovin,推荐,2012-02-16,Ada McGrath: What a death! What a chance! What a surprise! My will has chosen life! Still it has had me spooked and many others besides!
钢琴课,ilia,推荐,2011-05-04,看来受不了野人的大有人在啊，毛利语- -。女主很像那个谁。。。。我原以为她会死的，看到她最后的笑我都觉得爱真好
钢琴课,Alto-S.s,推荐,2011-11-25,"Down there everything is so still in silent,that has lost me to sleep.It's a rare lullaby,and so it is.It's mine.There's a silence,where happy is no sound,there's a silence,where no sound may be in the cold grave under the deep deep sea.   "
钢琴课,陈低调,力荐,2014-01-12,钢琴被抛下海的那一刻很伤心，也算是放下了过去。
钢琴课,Zdring,力荐,2008-01-05,不知道为何喜欢这样的畸恋，可能导演拍得美一点吧。
钢琴课,whenhear,很差,2013-12-09,文艺女青年就是这么矫情，即使不会说话也那么矫情，即使当了母亲也那么矫情，即使卖身也那么矫情，即使偷情也那么矫情，即使自杀也那么矫情╮(╯_╰)╭
钢琴课,BIGD,还行,2009-10-04,如果她随着钢琴一起沉入海底就好了...
钢琴课,咖喱娜,推荐,2010-02-28,记得当时是在学校图书馆视听室看的，很不错！
钢琴课,白驹东去,还行,2012-06-26,无论怎样的外衣，包裹的仍然是出轨的实质，整体不太喜欢，只是有些镜头还给得不错
钢琴课,愤怒的煮菜锅,推荐,2011-03-17,当你另一个人失望一次之后就无法补救了吗？可能是因为我是男性 我无法理解Ada的行为 也许这就是女人和人之间的区别吧 温柔只是软弱吗？强暴你就是爱你嘛 那我不介意远离这一切 哪怕piano是你的传话筒 但你的玩弄只能让人无法忍受 而你不是受害者 
